Phvul.007G096200  Phvul.010G087200  Phvul.008G193100  Phvul.009G170300  Phvul.003G103600  Phvul.007G159900 ,6
Phvul.003G002700  Phvul.011G172100  Phvul.003G002400  Phvul.003G002600  Phvul.003G002800 ,5
Phvul.007G160900  Phvul.002G323100  Phvul.002G323800  Phvul.002G323300  Phvul.002G323200 ,5
Phvul.001G134400  Phvul.001G133400  Phvul.001G134300  Phvul.001G134500  Phvul.001G133600 ,5
Phvul.004G043400  Phvul.004G043300  Phvul.004G043200  Phvul.004G043500  Phvul.004G042900 ,5
Phvul.002G038700  Phvul.002G038600  Phvul.002G039100  Phvul.002G039300  Phvul.002G184300 ,5
Phvul.004G037100  Phvul.004G036100  Phvul.004G035900  Phvul.004G037000  Phvul.004G036000 ,5
Phvul.010G141100  Phvul.010G140900  Phvul.010G141200  Phvul.010G141000  Phvul.010G140800 ,5
Phvul.008G110000  Phvul.008G110200  Phvul.008G110100  Phvul.008G110500  Phvul.008G110400 ,5
Phvul.009G214100  Phvul.009G214000  Phvul.009G214300  Phvul.003G123800  Phvul.009G213900 ,5
Phvul.011G066100  Phvul.011G066400  Phvul.011G066600  Phvul.011G066500  Phvul.011G066200 ,5
Phvul.006G026900  Phvul.006G026700  Phvul.007G022400  Phvul.006G026600  Phvul.006G026800 ,5
Phvul.003G275900  Phvul.011G185000  Phvul.011G185200  Phvul.011G185100  Phvul.011G184900 ,5
Phvul.005G007300  Phvul.005G007400  Phvul.005G007500  Phvul.005G033900  Phvul.011G165400 ,5
Phvul.010G063000  Phvul.007G086300  Phvul.010G063700  Phvul.010G063100 ,4
